"","ski_degs_uni"
"790","gene20714"
"791","gene3339"
"792","gene18952"
"793","gene13795"
"794","gene4608"
"795","gene18535"
"796","gene3974"
"797","gene2241"
"798","gene23881"
"799","gene1651"
"800","gene22446"
"801","gene3884"
"802","gene16684"
"803","gene6835"
"804","gene5415"
"805","gene15476"
"806","gene5839"
"807","gene1242"
"808","gene12901"
"809","gene2423"
"810","gene6242"
"811","gene10289"
"812","gene5797"
"813","gene14265"
"814","gene25864"
"815","gene16394"
"816","gene20678"
"817","gene20908"
"818","gene20881"
"819","gene22367"
"820","gene978"
"821","gene24686"
"822","gene20679"
"823","gene20909"
"824","gene6307"
"825","gene9128"
"826","gene7383"
"827","gene18445"
"828","gene2903"
"829","gene13276"
"830","gene24446"
"831","gene26003"
"832","gene905"
"833","gene12910"
"834","gene5308"
"835","gene14998"
"836","gene7061"
"837","gene9221"
"838","gene12173"
"839","gene4613"
"840","gene1986"
"841","gene16192"
"842","gene2763"
"843","gene11201"
"844","gene2952"
"845","gene26652"
"846","gene7364"
"847","gene17566"
"848","gene4275"
"849","gene17985"
"850","gene18741"
"851","gene3982"
"852","gene24417"
"853","gene18285"
"854","gene6228"
"855","gene15371"
"856","rna46623"
"857","gene5037"
"858","gene9768"
"859","gene259"
"860","gene12937"
"861","gene26434"
"862","gene20028"
"863","gene4800"
"864","id50266"
"865","gene1824"
"866","gene860"
"867","gene13151"
"868","gene12442"
"869","gene13007"
"870","gene3257"
"871","gene17095"
"872","gene781"
"873","gene2419"
"874","gene25272"
"875","gene6617"
"876","gene15001"
"877","gene17733"
"878","gene20163"
"879","gene15392"
"880","gene10625"
"881","gene7057"
"882","gene789"
"883","gene23000"
"884","gene13896"
"885","gene25533"
"886","gene9731"
"887","gene22487"
"888","gene698"
"889","gene24215"
"890","gene25880"
"891","gene14293"
"892","gene6794"
"893","gene3389"
"894","gene5985"
"895","gene22242"
"896","gene5112"
"897","gene15924"
"898","gene16062"
"899","gene16326"
"900","gene25834"
"901","gene15661"
"902","gene16053"
"903","gene3380"
"904","gene10823"
"905","gene16412"
"906","gene16772"
"907","gene23437"
"908","gene3504"
"909","gene11299"
"910","gene15435"
"911","gene16682"
"912","gene23061"
"913","gene6760"
"914","gene5862"
"915","gene7078"
"916","gene2861"
"917","gene3174"
"918","gene5726"
"919","gene17731"
"920","gene9740"
"921","gene1598"
"922","gene20263"
"923","gene11728"
"924","gene15929"
"925","gene20766"
"926","gene3837"
"927","gene5744"
"928","gene11444"
"929","gene16217"
"930","gene6955"
"931","gene13838"
"932","gene25484"
"933","gene25491"
"934","gene1555"
"935","gene13611"
"936","gene9102"
"937","gene20752"
"938","gene25591"
"939","gene4223"
"940","gene19951"
"941","gene10217"
"942","gene9899"
"943","gene17787"
"944","gene24071"
"945","gene12600"
"946","gene22257"
"947","gene5019"
"948","gene4314"
"949","gene12120"
"950","gene18063"
"951","gene22738"
"952","gene5764"
"953","gene980"
"954","gene11040"
"955","gene11347"
"956","gene11918"
"957","gene24344"
"958","gene14942"
"959","gene25681"
"960","gene5157"
"961","gene5231"
"962","gene16681"
"963","gene11186"
"964","gene7372"
"965","gene13135"
"966","gene14746"
"967","gene22527"
"968","gene869"
"969","gene24270"
"970","gene13597"
"971","gene3616"
"972","gene5640"
"973","gene7461"
"974","gene341"
"975","gene15181"
"976","gene2724"
"977","gene13356"
"978","gene6427"
"979","gene25769"
