"","int_degs_uni"
"919","gene21227"
"920","gene23132"
"921","gene18513"
"922","gene4773"
"923","gene13230"
"924","gene5665"
"925","gene18875"
"926","gene26041"
"927","gene24559"
"928","gene579"
"929","gene7592"
"930","gene18871"
"931","gene2013"
"932","gene23365"
"933","gene22983"
"934","gene13417"
"935","gene755"
"936","gene24053"
"937","gene26249"
"938","gene11368"
"939","gene4569"
"940","gene795"
"941","gene18615"
"942","gene23380"
"943","gene13917"
"944","gene3958"
"945","gene15918"
"946","gene2478"
"947","gene16732"
"948","gene2846"
"949","gene3773"
"950","gene25446"
"951","gene16074"
"952","gene25838"
"953","gene13927"
"954","gene141"
"955","gene3750"
"956","gene8223"
"957","gene3843"
"958","gene25767"
"959","gene854"
"960","gene20539"
"961","gene6757"
"962","gene6178"
"963","gene14634"
"964","gene14842"
"965","gene5325"
"966","gene12120"
"967","gene832"
"968","gene25412"
"969","gene25908"
"970","gene21295"
"971","gene22517"
"972","gene19915"
"973","gene25278"
"974","gene12616"
"975","gene24948"
"976","gene471"
"977","gene15923"
"978","gene17306"
"979","gene19714"
"980","gene19719"
"981","gene4133"
"982","gene4219"
"983","gene6018"
"984","gene17198"
"985","gene11996"
"986","gene567"
"987","gene22205"
"988","gene2250"
"989","gene9581"
"990","gene26232"
"991","gene7278"
"992","gene23133"
"993","gene2075"
"994","gene16310"
"995","gene19092"
"996","gene14458"
"997","gene16244"
"998","gene26176"
"999","gene13527"
"1000","gene134"
"1001","gene5598"
"1002","gene18055"
"1003","gene17470"
"1004","gene419"
"1005","gene26638"
"1006","gene23099"
"1007","gene483"
"1008","gene21236"
"1009","gene320"
"1010","gene3475"
"1011","gene21967"
"1012","gene4540"
"1013","gene24441"
"1014","gene3269"
"1015","gene1949"
"1016","gene24084"
"1017","gene16971"
"1018","gene25321"
"1019","gene5608"
"1020","gene20692"
"1021","gene1353"
"1022","gene12980"
"1023","gene25715"
"1024","gene24553"
"1025","gene19025"
"1026","gene17088"
"1027","gene25219"
"1028","gene22521"
"1029","gene5818"
"1030","gene10549"
"1031","gene23006"
"1032","gene1564"
"1033","gene5012"
"1034","gene16601"
"1035","gene16801"
"1036","gene21643"
"1037","gene1784"
"1038","gene5134"
"1039","gene554"
"1040","gene9817"
"1041","gene2031"
"1042","gene415"
"1043","gene8218"
"1044","gene11648"
"1045","gene13582"
"1046","gene16349"
"1047","gene11182"
"1048","gene230"
"1049","gene12910"
"1050","gene9732"
"1051","gene12847"
"1052","gene20893"
"1053","gene19336"
"1054","gene1086"
"1055","gene18799"
"1056","gene10262"
"1057","gene15565"
"1058","gene20129"
"1059","gene16524"
"1060","gene19905"
"1061","gene8071"
"1062","gene13423"
"1063","id41760"
"1064","gene14048"
"1065","gene16286"
"1066","gene9931"
"1067","gene20471"
"1068","gene922"
"1069","gene15196"
"1070","gene24008"
"1071","gene4484"
"1072","gene23330"
"1073","gene2590"
"1074","gene25711"
"1075","gene19049"
"1076","gene19102"
"1077","gene4491"
"1078","gene12704"
"1079","gene19284"
"1080","gene23995"
"1081","gene26625"
"1082","gene18753"
"1083","gene14278"
"1084","gene1653"
"1085","gene18263"
"1086","gene19192"
"1087","gene14179"
"1088","gene21486"
"1089","gene25782"
"1090","gene25703"
"1091","gene16437"
"1092","gene5540"
"1093","gene19150"
"1094","gene11993"
"1095","gene11994"
"1096","gene21658"
"1097","gene18148"
"1098","gene24741"
"1099","gene4919"
"1100","gene23346"
"1101","gene12267"
"1102","gene20237"
"1103","gene26496"
"1104","gene12992"
"1105","gene16269"
"1106","gene20802"
"1107","gene21235"
"1108","gene18512"
"1109","gene26746"
"1110","gene10769"
"1111","gene10948"
"1112","gene18754"
"1113","gene15922"
"1114","gene19303"
"1115","gene19240"
"1116","gene22204"
"1117","gene3618"
"1118","gene11466"
"1119","gene21898"
"1120","gene22968"
"1121","gene26493"
"1122","gene14817"
"1123","gene20224"
"1124","gene20857"
"1125","gene19193"
"1126","gene22534"
"1127","gene5232"
"1128","gene12896"
"1129","gene14837"
"1130","gene15732"
"1131","gene10175"
"1132","gene4886"
"1133","gene17435"
"1134","gene21201"
"1135","gene519"
"1136","gene25205"
"1137","gene21207"
"1138","gene6263"
"1139","gene15885"
"1140","gene25551"
"1141","gene16666"
"1142","gene25710"
"1143","gene26344"
"1144","gene15447"
"1145","gene16326"
"1146","gene15181"
"1147","gene26059"
"1148","gene17987"
"1149","gene25707"
"1150","gene16431"
"1151","gene25708"
"1152","gene25550"
"1153","gene16104"
"1154","gene16237"
"1155","gene16412"
"1156","gene25834"
"1157","gene6889"
"1158","gene3402"
"1159","gene4637"
"1160","gene11095"
"1161","gene14682"
"1162","gene9095"
"1163","gene12500"
"1164","gene22578"
"1165","gene21165"
"1166","gene18103"
"1167","gene20861"
"1168","gene12037"
"1169","gene4605"
"1170","gene6091"
"1171","gene2818"
"1172","gene25490"
"1173","gene14697"
"1174","gene23002"
"1175","gene14342"
"1176","gene9229"
"1177","gene21058"
"1178","gene7611"
"1179","gene10656"
"1180","gene14306"
"1181","gene7330"
"1182","gene10946"
"1183","gene7106"
"1184","gene12001"
"1185","gene18770"
"1186","gene24707"
"1187","gene17718"
"1188","gene13341"
"1189","gene14923"
"1190","gene9278"
"1191","gene9513"
"1192","gene4534"
"1193","gene24779"
"1194","gene4627"
"1195","gene18346"
"1196","gene12503"
"1197","gene868"
"1198","gene13255"
"1199","gene16190"
"1200","gene16839"
"1201","gene2174"
"1202","gene6752"
"1203","gene17248"
"1204","gene837"
"1205","gene11819"
"1206","gene14942"
"1207","gene2472"
"1208","gene20813"
"1209","gene736"
"1210","gene26928"
"1211","gene5153"
"1212","gene15733"
"1213","gene17100"
"1214","gene16644"
"1215","gene18177"
"1216","gene17998"
"1217","gene3284"
"1218","gene10585"
"1219","gene14067"
"1220","gene15601"
"1221","gene5456"
"1222","gene16153"
"1223","gene7170"
"1224","gene22747"
"1225","gene10772"
"1226","gene14041"
"1227","gene3191"
"1228","gene12684"
"1229","gene1584"
"1230","gene2601"
"1231","gene7052"
"1232","gene18717"
"1233","gene781"
"1234","gene2736"
"1235","gene13765"
"1236","gene4622"
"1237","gene10335"
"1238","gene5373"
"1239","gene1287"
"1240","gene20776"
"1241","gene7289"
"1242","gene15928"
"1243","gene16362"
"1244","gene12898"
"1245","gene20192"
"1246","gene9722"
"1247","gene5635"
"1248","gene19294"
"1249","id41745"
"1250","gene9997"
"1251","gene11272"
"1252","gene20846"
"1253","gene15319"
"1254","gene22249"
"1255","gene25505"
"1256","gene9260"
"1257","gene17914"
"1258","gene9263"
"1259","gene20408"
"1260","gene20080"
"1261","gene7461"
"1262","gene21645"
"1263","gene5308"
"1264","gene1759"
"1265","gene10245"
"1266","gene13163"
"1267","gene22412"
"1268","gene14784"
"1269","gene15704"
"1270","gene19019"
"1271","gene20873"
"1272","gene10344"
"1273","gene23123"
"1274","gene20627"
"1275","gene26512"
"1276","gene25160"
"1277","gene3305"
"1278","gene131"
"1279","gene17374"
"1280","gene1363"
"1281","gene16560"
"1282","gene20730"
"1283","gene17854"
"1284","gene4403"
"1285","gene26840"
"1286","gene18305"
"1287","gene4567"
"1288","gene25006"
"1289","gene26052"
"1290","gene18303"
"1291","gene25870"
"1292","gene16388"
"1293","gene15280"
"1294","gene15764"
"1295","gene324"
"1296","gene12575"
"1297","gene25072"
"1298","gene12132"
"1299","gene7391"
"1300","gene25941"
"1301","gene659"
"1302","gene21087"
"1303","gene9801"
"1304","gene12913"
"1305","gene14589"
"1306","gene11421"
"1307","gene14244"
"1308","gene5610"
"1309","gene12818"
"1310","gene5187"
"1311","gene17378"
"1312","gene913"
"1313","gene15449"
"1314","gene11202"
"1315","gene21881"
"1316","gene7083"
"1317","gene2714"
"1318","gene5004"
"1319","gene17751"
"1320","gene16972"
"1321","gene17536"
"1322","gene4391"
"1323","gene1018"
"1324","gene20662"
"1325","gene14818"
"1326","gene2565"
"1327","gene21133"
"1328","gene9316"
"1329","gene671"
"1330","gene10511"
"1331","gene11576"
"1332","gene22064"
"1333","gene1125"
"1334","gene6327"
"1335","gene5811"
"1336","gene1665"
"1337","gene12978"
"1338","gene2110"
"1339","gene1964"
"1340","gene3279"
"1341","gene18326"
"1342","gene848"
"1343","gene26893"
"1344","gene7197"
"1345","gene4135"
"1346","gene25979"
"1347","gene14825"
"1348","gene7386"
"1349","gene18790"
"1350","gene25158"
"1351","gene16218"
"1352","gene17801"
"1353","gene2551"
"1354","gene16844"
"1355","gene5155"
"1356","gene10584"
"1357","gene17273"
"1358","gene23217"
"1359","gene22386"
"1360","gene21048"
"1361","gene6687"
"1362","gene26121"
"1363","gene10503"
"1364","gene15001"
"1365","gene7245"
"1366","gene24212"
"1367","gene20572"
"1368","gene24735"
"1369","gene5715"
"1370","gene7026"
"1371","gene408"
"1372","gene20366"
"1373","gene13370"
"1374","gene14836"
"1375","gene12857"
"1376","gene2955"
"1377","gene16727"
"1378","gene25590"
"1379","gene12012"
"1380","gene26313"
"1381","gene10774"
"1382","gene25672"
"1383","gene2612"
"1384","gene26816"
"1385","gene16723"
"1386","gene15134"
"1387","gene23031"
"1388","gene10548"
"1389","gene16379"
"1390","gene16425"
"1391","gene10597"
"1392","gene10782"
"1393","gene20070"
"1394","gene22626"
"1395","gene18269"
"1396","gene5222"
"1397","gene10544"
"1398","gene17953"
"1399","gene21681"
"1400","gene11439"
"1401","gene6737"
"1402","gene20081"
