"","lun_degs_uni"
"647","gene16888"
"648","gene864"
"649","gene17495"
"650","gene16889"
"651","gene5076"
"652","gene7329"
"653","gene834"
"654","gene3599"
"655","gene16681"
"656","gene2015"
"657","gene9599"
"658","gene25964"
"659","gene8206"
"660","gene23965"
"661","gene25321"
"662","gene8060"
"663","gene13256"
"664","gene22656"
"665","gene19148"
"666","gene19192"
"667","gene12589"
"668","gene19258"
"669","gene19257"
"670","gene26886"
"671","gene23322"
"672","gene2692"
"673","gene26089"
"674","gene20152"
"675","gene22634"
"676","gene3345"
"677","gene1817"
"678","gene9955"
"679","gene14182"
"680","gene3464"
"681","gene3750"
"682","gene3397"
"683","gene17307"
"684","gene18576"
"685","gene21182"
"686","gene17308"
"687","gene24740"
"688","gene25868"
"689","gene3773"
"690","gene13378"
"691","gene24984"
"692","gene1741"
"693","gene6279"
"694","gene15587"
"695","gene26357"
"696","gene1253"
"697","gene21091"
"698","gene5176"
"699","gene19614"
"700","gene20972"
"701","gene18732"
"702","gene21462"
"703","gene23132"
"704","gene10442"
"705","gene19293"
"706","gene13576"
"707","gene14066"
"708","gene18346"
"709","gene24886"
"710","gene6218"
"711","gene20107"
"712","gene26064"
"713","gene12563"
"714","gene15986"
"715","gene13628"
"716","gene12319"
"717","gene23078"
"718","gene19236"
"719","gene25420"
"720","gene14779"
"721","gene20665"
"722","gene14933"
"723","gene3129"
"724","gene1997"
"725","gene20666"
"726","gene20973"
"727","gene18811"
"728","gene26473"
"729","gene405"
"730","gene1996"
"731","gene4019"
"732","gene1454"
"733","gene10409"
"734","gene3405"
"735","gene20943"
"736","gene4444"
"737","gene19221"
"738","gene23313"
"739","gene4458"
"740","gene12070"
"741","gene22251"
"742","gene17754"
"743","gene22190"
"744","gene20995"
"745","gene25378"
"746","gene22071"
"747","gene7020"
"748","gene17094"
"749","gene21315"
"750","gene11388"
"751","gene3845"
"752","gene15157"
"753","gene4145"
"754","gene11729"
"755","gene6752"
"756","gene11913"
"757","gene21800"
"758","gene24865"
"759","gene16217"
"760","gene15735"
"761","gene3744"
"762","gene19067"
"763","gene5982"
"764","gene10792"
"765","gene18226"
"766","gene4695"
"767","gene21640"
"768","gene13073"
"769","gene10469"
"770","gene11325"
"771","gene14332"
"772","gene14615"
"773","gene21486"
"774","gene17179"
"775","gene15987"
"776","gene4003"
"777","gene229"
"778","gene15874"
"779","gene5128"
"780","gene2070"
"781","gene13189"
"782","gene23005"
"783","gene20937"
"784","gene3316"
"785","gene489"
"786","gene20192"
"787","gene21301"
"788","gene1038"
"789","gene14175"
"790","gene16859"
"791","gene20264"
"792","gene22252"
"793","gene12069"
"794","gene16603"
"795","gene4275"
"796","gene9181"
"797","gene20907"
"798","gene16308"
"799","gene9997"
"800","gene20322"
"801","gene21087"
"802","gene16036"
"803","gene17776"
"804","gene24829"
"805","gene22248"
"806","gene5739"
"807","gene26397"
"808","gene6465"
"809","gene21014"
