"","mus_degs_uni"
"709","gene12056"
"710","gene10907"
"711","gene11892"
"712","gene20472"
"713","gene26053"
"714","gene14608"
"715","gene2637"
"716","gene6717"
"717","gene14995"
"718","gene20537"
"719","gene22792"
"720","gene17552"
"721","gene6018"
"722","gene7437"
"723","gene2443"
"724","gene8048"
"725","gene15051"
"726","gene4943"
"727","gene8311"
"728","gene25874"
"729","gene11756"
"730","gene14762"
"731","gene11299"
"732","gene25251"
"733","gene18625"
"734","gene21335"
"735","gene22793"
"736","gene2875"
"737","gene24582"
"738","gene15639"
"739","gene23192"
"740","gene24706"
"741","gene22767"
"742","gene24653"
"743","gene22794"
"744","gene23494"
"745","gene20886"
"746","gene24082"
"747","gene20223"
"748","gene20538"
"749","gene25505"
"750","gene19215"
"751","gene25522"
"752","gene26298"
"753","gene9189"
"754","gene12973"
"755","gene22763"
"756","gene2363"
"757","gene15698"
"758","gene1755"
"759","gene824"
"760","gene26709"
"761","gene24855"
"762","gene25143"
"763","gene13477"
"764","gene14497"
"765","gene20948"
"766","gene4753"
"767","gene1152"
"768","gene13282"
"769","gene2015"
"770","gene5787"
"771","gene11793"
"772","gene1346"
"773","gene1607"
"774","gene259"
"775","gene2360"
"776","gene1750"
"777","gene20366"
"778","gene15808"
"779","gene2701"
"780","gene23940"
"781","gene22285"
"782","gene6306"
"783","gene846"
"784","gene5590"
"785","gene10783"
"786","gene15685"
"787","gene19021"
"788","gene16583"
"789","gene15689"
"790","gene14709"
"791","gene15513"
"792","gene977"
"793","gene1410"
"794","gene782"
"795","gene15512"
"796","gene5018"
"797","gene12410"
"798","gene21949"
"799","gene11000"
"800","gene6358"
"801","gene10351"
"802","gene21274"
"803","gene6242"
"804","gene22236"
"805","gene5028"
"806","gene1277"
"807","gene1989"
"808","gene18809"
"809","gene3754"
"810","gene15594"
"811","gene16355"
"812","gene10949"
"813","gene6348"
"814","gene24574"
"815","gene3735"
"816","gene10510"
"817","gene16161"
"818","gene18722"
"819","gene10405"
"820","gene21817"
"821","gene14713"
"822","gene9882"
"823","gene18621"
"824","gene11350"
"825","gene14895"
"826","gene26341"
"827","gene4386"
"828","gene2568"
"829","gene1532"
"830","gene2042"
"831","gene15444"
"832","gene7506"
"833","gene19332"
"834","gene16411"
"835","gene2078"
"836","gene18073"
"837","gene6200"
"838","gene5547"
"839","gene14182"
"840","gene19881"
"841","gene14264"
"842","gene11051"
"843","gene14263"
"844","gene14265"
"845","gene1876"
"846","gene12157"
"847","gene3905"
"848","gene5254"
"849","gene7297"
"850","gene17975"
"851","gene6958"
"852","gene10796"
"853","gene12619"
"854","gene1583"
"855","gene13896"
"856","gene14195"
"857","gene1689"
"858","gene3600"
"859","gene5826"
"860","gene18563"
"861","gene905"
"862","gene11746"
"863","gene11376"
"864","gene15587"
"865","gene12181"
"866","gene10027"
"867","gene4149"
"868","gene12189"
"869","gene6099"
"870","gene6029"
"871","gene22918"
"872","gene4160"
"873","gene6308"
"874","gene16147"
"875","gene6595"
"876","gene11067"
"877","gene7049"
"878","gene2118"
"879","gene17105"
"880","gene7375"
"881","gene14564"
"882","gene14658"
"883","gene11185"
"884","gene14829"
"885","gene1681"
"886","gene15724"
"887","gene15290"
"888","gene750"
"889","gene10223"
"890","gene4382"
"891","gene20667"
"892","gene4039"
"893","gene12109"
"894","gene1621"
"895","gene10178"
"896","gene1651"
"897","gene726"
"898","gene17376"
"899","gene2510"
"900","gene806"
"901","gene20408"
"902","gene10716"
"903","gene11139"
"904","gene23216"
"905","gene9130"
"906","gene10296"
"907","gene22137"
"908","gene20809"
"909","gene24746"
"910","gene1038"
"911","gene4834"
"912","gene6305"
"913","gene12816"
"914","gene748"
"915","gene1794"
"916","gene6090"
"917","gene20422"
"918","gene8917"
"919","gene14769"
"920","gene11186"
"921","gene5875"
"922","gene10507"
"923","gene7155"
"924","gene3736"
"925","gene14832"
"926","gene4258"
"927","gene7231"
"928","gene17611"
"929","gene3913"
"930","gene14904"
"931","gene18554"
"932","gene17831"
"933","gene16192"
"934","gene14560"
"935","gene17178"
"936","gene12881"
"937","gene4628"
"938","gene5138"
"939","gene13345"
"940","gene10939"
"941","gene25517"
"942","gene3975"
"943","gene10283"
"944","gene14029"
"945","gene12267"
"946","gene736"
"947","gene4651"
"948","gene16317"
"949","gene14676"
"950","gene4040"
"951","gene834"
"952","gene17566"
"953","gene1988"
"954","gene2763"
"955","gene5839"
"956","gene15344"
"957","gene6307"
"958","gene5051"
"959","gene13775"
"960","gene12910"
"961","gene18124"
"962","gene24215"
"963","gene20909"
"964","gene1940"
"965","gene4613"
"966","gene13599"
"967","gene6805"
"968","gene21640"
"969","gene12258"
"970","gene14661"
"971","gene24006"
"972","gene5431"
"973","gene6544"
"974","gene4145"
"975","gene15329"
"976","gene15261"
"977","gene10469"
"978","gene1717"
"979","gene12898"
"980","gene10265"
"981","gene12601"
"982","gene15157"
"983","gene20322"
"984","gene9997"
"985","gene13278"
"986","gene5554"
"987","gene20080"
"988","gene16073"
"989","gene19294"
"990","gene3191"
"991","gene7248"
"992","gene416"
"993","gene10752"
"994","gene2753"
"995","gene2228"
"996","gene6475"
