"","hea_degs_uni"
"522","gene20172"
"523","gene14804"
"524","gene14723"
"525","gene9075"
"526","gene23975"
"527","gene2158"
"528","gene4200"
"529","gene11225"
"530","gene19905"
"531","gene16952"
"532","gene14941"
"533","gene23391"
"534","gene189"
"535","gene19910"
"536","gene6649"
"537","gene24106"
"538","gene19833"
"539","gene24250"
"540","gene1367"
"541","gene15747"
"542","gene10866"
"543","gene13286"
"544","gene22968"
"545","gene7046"
"546","gene1733"
"547","gene824"
"548","gene11643"
"549","gene1966"
"550","gene19020"
"551","gene19142"
"552","gene26598"
"553","rna46615"
"554","gene21063"
"555","gene6626"
"556","gene10670"
"557","gene19625"
"558","gene2131"
"559","gene21369"
"560","gene23133"
"561","gene13550"
"562","gene20273"
"563","gene25851"
"564","gene13"
"565","gene25725"
"566","gene2821"
"567","gene19093"
"568","gene26668"
"569","rna46625"
"570","gene11374"
"571","gene24555"
"572","gene19229"
"573","gene17513"
"574","gene5253"
"575","gene17738"
"576","gene11415"
"577","gene22912"
"578","gene17873"
"579","gene13585"
"580","gene13308"
"581","gene13552"
"582","gene25522"
"583","gene8319"
"584","gene23450"
"585","gene13063"
"586","gene13409"
"587","gene22546"
"588","gene21698"
"589","gene26577"
"590","gene17613"
"591","gene23892"
"592","gene25913"
"593","gene19830"
"594","gene4259"
"595","gene2530"
"596","gene15435"
"597","gene11636"
"598","gene3278"
"599","gene8048"
"600","gene3389"
"601","gene7289"
"602","gene23954"
"603","gene16127"
"604","gene18473"
"605","gene25610"
"606","gene20761"
"607","gene23959"
"608","gene13614"
"609","gene14242"
"610","gene23497"
"611","gene147"
"612","gene5866"
"613","gene12221"
"614","gene5724"
"615","gene9334"
"616","gene26305"
"617","gene2819"
"618","gene5356"
"619","gene16861"
"620","gene3091"
"621","gene15661"
"622","gene16307"
"623","gene4136"
"624","gene25582"
"625","gene14608"
"626","gene13219"
"627","gene18213"
"628","gene23964"
"629","gene6200"
"630","gene25540"
"631","gene8262"
"632","gene19238"
"633","gene11299"
"634","gene22165"
"635","gene24779"
"636","gene26581"
"637","gene17201"
"638","gene21169"
"639","gene25759"
"640","gene11039"
"641","gene18250"
"642","gene25672"
"643","gene19237"
"644","gene24468"
"645","gene11308"
"646","gene22293"
"647","gene9244"
"648","gene11913"
"649","gene24706"
"650","gene26776"
"651","gene22338"
"652","gene7652"
"653","gene14810"
"654","gene18608"
"655","gene23189"
"656","gene3351"
"657","gene23227"
"658","gene9609"
"659","gene11410"
"660","gene17042"
"661","gene10548"
"662","gene14745"
"663","gene19850"
"664","gene25196"
"665","gene1822"
"666","gene6630"
"667","gene19042"
"668","gene7217"
"669","gene24702"
"670","gene24513"
"671","gene6113"
"672","gene23941"
"673","gene19172"
"674","gene23132"
"675","gene16969"
"676","gene1170"
"677","gene26670"
"678","gene16673"
"679","gene13602"
"680","gene13769"
"681","gene1507"
"682","gene4395"
"683","gene4792"
"684","gene11333"
"685","gene3395"
"686","gene11331"
"687","gene26075"
"688","gene3268"
"689","gene5739"
"690","gene10691"
"691","gene20913"
"692","gene3257"
"693","gene9656"
"694","gene18272"
"695","gene2763"
"696","gene12675"
"697","gene7139"
"698","gene9599"
"699","gene17442"
"700","gene14844"
"701","gene10829"
"702","gene11802"
"703","gene3600"
"704","gene10510"
"705","gene13269"
"706","gene12674"
"707","gene592"
"708","gene12676"
"709","gene13334"
"710","gene18354"
"711","gene11594"
"712","gene15530"
"713","gene14518"
"714","gene6655"
"715","gene20868"
"716","gene11183"
"717","gene9600"
"718","gene6958"
"719","gene19102"
"720","gene3219"
"721","gene8219"
"722","gene16348"
"723","gene15902"
"724","gene10265"
"725","gene10396"
"726","gene15369"
"727","gene10621"
"728","gene20848"
"729","gene18356"
"730","gene26064"
"731","gene8233"
"732","gene10320"
"733","gene10695"
"734","gene6887"
"735","gene15638"
"736","gene5818"
"737","gene7372"
"738","gene11784"
"739","gene13583"
"740","gene5121"
"741","gene1988"
"742","gene1689"
"743","gene15808"
"744","gene2014"
"745","gene15671"
"746","gene22460"
"747","gene14388"
"748","gene5802"
"749","gene12975"
"750","gene3266"
"751","gene20313"
"752","gene17725"
"753","gene18769"
"754","gene10533"
"755","gene20049"
"756","gene594"
"757","gene2078"
"758","gene917"
"759","gene6617"
"760","gene12069"
"761","gene12489"
"762","gene10217"
"763","gene11272"
"764","gene1944"
"765","gene11950"
"766","gene6794"
"767","gene14904"
"768","gene4651"
"769","gene9804"
"770","gene6382"
"771","gene6729"
"772","gene21278"
"773","gene5051"
"774","gene26188"
"775","gene5839"
"776","gene10178"
"777","gene3761"
"778","gene10274"
"779","gene11761"
"780","gene21071"
"781","gene5209"
"782","gene18791"
"783","gene21685"
"784","gene4394"
"785","gene23000"
"786","gene6825"
"787","gene1995"
"788","gene10551"
"789","gene5424"
"790","gene17116"
"791","gene4195"
"792","gene5677"
"793","gene12458"
"794","gene10379"
"795","gene5402"
"796","gene18952"
"797","gene11665"
"798","gene18799"
"799","gene7121"
"800","rna46627"
"801","gene21797"
"802","gene15677"
"803","gene10087"
"804","gene13157"
"805","gene1555"
"806","gene6992"
"807","gene5588"
"808","gene11918"
"809","gene11089"
"810","gene2326"
"811","gene6792"
"812","gene6912"
"813","gene2830"
"814","gene905"
"815","gene5797"
"816","gene14249"
"817","gene16161"
"818","gene26003"
"819","gene25911"
"820","gene1242"
"821","gene4824"
"822","gene19265"
"823","gene12785"
"824","gene22632"
"825","gene7356"
"826","gene15329"
"827","gene7231"
"828","gene466"
"829","gene13135"
"830","gene20908"
"831","gene20679"
"832","gene20909"
"833","gene11347"
"834","gene22294"
"835","gene5231"
"836","gene11050"
"837","gene4799"
"838","gene22747"
"839","gene6307"
"840","gene3322"
"841","gene5855"
"842","gene22011"
"843","gene7090"
"844","gene18079"
"845","gene3938"
"846","gene21859"
"847","gene6189"
"848","gene726"
"849","gene18802"
"850","gene14393"
"851","gene15290"
"852","gene17427"
"853","gene11182"
"854","gene16749"
"855","gene5038"
"856","gene2419"
"857","gene17978"
"858","gene6300"
"859","gene12562"
"860","gene2167"
"861","gene5741"
"862","gene22618"
"863","gene10805"
"864","gene14724"
"865","gene12173"
"866","gene15085"
"867","gene21712"
"868","gene12059"
"869","gene15924"
"870","gene15447"
"871","gene7166"
"872","gene12666"
"873","gene15578"
"874","gene18303"
"875","gene19048"
"876","gene20547"
"877","gene17093"
"878","gene617"
"879","gene15635"
"880","gene15765"
"881","gene1624"
"882","gene20784"
"883","gene9439"
"884","gene1665"
"885","gene23078"
"886","gene14040"
"887","gene5023"
"888","gene12844"
"889","gene3813"
"890","gene9572"
"891","gene4027"
"892","gene25681"
"893","gene22412"
"894","gene22206"
"895","gene4617"
"896","gene24270"
"897","gene12091"
"898","gene14096"
"899","gene24401"
"900","gene15676"
"901","gene1468"
"902","gene15601"
"903","gene5138"
"904","gene22647"
"905","gene17154"
"906","gene17566"
"907","gene17611"
"908","gene17612"
"909","gene2956"
"910","gene6713"
"911","gene24166"
"912","gene16317"
"913","gene9302"
"914","gene11052"
"915","gene11544"
"916","gene11088"
"917","gene18445"
"918","gene10540"
"919","gene25856"
"920","gene20327"
"921","gene11158"
"922","gene25738"
"923","gene6799"
"924","gene3477"
"925","gene5417"
"926","gene11763"
"927","gene25880"
"928","gene17635"
"929","gene10405"
"930","gene16304"
"931","gene17998"
"932","gene13457"
"933","gene24520"
"934","gene14224"
"935","gene4669"
"936","gene4264"
"937","gene24266"
"938","gene13933"
"939","gene14682"
"940","gene2885"
"941","gene5245"
"942","gene15651"
"943","gene3454"
"944","gene13920"
"945","gene2549"
"946","gene3499"
"947","gene6947"
"948","gene4777"
"949","gene17756"
"950","gene6524"
"951","gene19616"
"952","gene854"
"953","gene11873"
"954","gene17778"
"955","gene15181"
"956","gene4902"
"957","gene15662"
"958","gene8302"
"959","gene21911"
"960","gene18044"
"961","gene4169"
"962","gene15663"
"963","gene7793"
"964","gene22726"
"965","gene18183"
"966","gene20407"
"967","gene24135"
"968","gene4241"
"969","gene13217"
"970","gene4226"
"971","gene25251"
"972","gene1260"
"973","gene6561"
"974","gene6991"
"975","gene15179"
"976","gene23006"
"977","gene1070"
"978","gene11349"
"979","gene10021"
"980","gene2591"
"981","gene7330"
"982","gene4438"
"983","gene13248"
"984","gene25133"
"985","gene13341"
"986","gene18629"
"987","gene23873"
"988","gene24553"
"989","gene19288"
"990","gene7327"
"991","gene7363"
"992","gene4053"
"993","gene9586"
"994","gene24923"
"995","gene19902"
"996","gene6097"
"997","gene21076"
"998","gene4942"
"999","gene1824"
"1000","gene13930"
"1001","gene3845"
"1002","gene18233"
"1003","gene4803"
"1004","gene847"
"1005","gene4444"
"1006","gene2508"
"1007","gene5384"
"1008","gene937"
"1009","gene20267"
"1010","gene12742"
"1011","gene11649"
"1012","gene12269"
"1013","gene21803"
"1014","gene13285"
"1015","gene18732"
"1016","gene18809"
"1017","gene24865"
"1018","gene21800"
"1019","gene14373"
"1020","gene17588"
"1021","gene21889"
"1022","gene10617"
"1023","gene4251"
"1024","gene7026"
"1025","gene24225"
"1026","gene12449"
"1027","gene16331"
"1028","gene6948"
"1029","gene23155"
"1030","gene5661"
"1031","gene21009"
"1032","gene2349"
"1033","gene16222"
"1034","gene5157"
"1035","gene22967"
"1036","gene2099"
"1037","gene5307"
"1038","gene18318"
"1039","gene6492"
"1040","gene16811"
"1041","gene21031"
"1042","gene24503"
"1043","gene3525"
"1044","gene1086"
"1045","gene12217"
"1046","gene12474"
"1047","gene1794"
"1048","gene4681"
"1049","gene13691"
"1050","gene17114"
"1051","gene13759"
"1052","gene15541"
"1053","gene15626"
"1054","gene17501"
"1055","gene17754"
"1056","gene4631"
"1057","gene11324"
"1058","gene15973"
"1059","gene1792"
"1060","gene4257"
"1061","gene10794"
"1062","gene15897"
"1063","gene1612"
